record_id,parcel_number,tax_period,principal,interest,penalty,other,total,lien_number
4322030001997,432203000,1997,91.23,149.84,6.39,68.14,315.60,1512R97851256
1620636002002,162063600,2002,158.14,188.59,11.07,88.00,445.80,1512R02791201
1025050002009,102505000,2009,155.10,87.24,10.86,69.18,322.38,1512R09665814
1123216002016,112321600,2016,274.36,0.00,0.00,0.00,274.36,
4914975002016,491497500,2016,614.51,0.00,0.00,0.00,614.51,
1613071002011,161307100,2011,354.27,135.51,24.80,116.22,630.80,1512R11611295
1123104002011,112310400,2011,0.00,180.42,61.53,35.04,276.99,1512R11608726
5622418001998,562241800,1998,173.35,269.13,12.13,105.43,560.04,1512R98840681
3410387002011,341038700,2011,334.21,127.84,23.39,50.33,535.77,1512R11620468
0120913002014,012091300,2014,-1390.80,0.00,0.00,0.00,-1390.80,
1321584001998,132158400,1998,200.75,311.67,14.05,834.15,1360.62,1512R98839949
4413215002014,441321500,2014,838.30,94.31,58.68,280.74,1272.03,1505R14044613
3110823002002,311082300,2002,30.41,36.27,2.13,35.99,104.80,L020024814
6322414002016,632241400,2016,0.01,0.00,0.00,0.00,0.01,
5020470002016,502047000,2016,0.01,0.00,0.00,0.00,0.01,
8811255502016,881125550,2016,6203.91,0.00,0.00,0.00,6203.91,
8712203002011,871220300,2011,300.79,115.06,21.06,102.24,539.15,1512R11628688
1612858002006,161285800,2006,164.22,136.71,11.50,79.84,392.27,1512R06730572
5313488002016,531348800,2016,0.01,0.00,0.00,0.00,0.01,
8845290152015,884529015,2015,2519.54,56.69,50.39,249.50,2876.12,1603R15090080
4310795002014,431079500,2014,693.45,78.01,48.54,249.91,1069.91,1505R14042040
4012507002016,401250700,2016,0.01,0.00,0.00,0.00,0.01,
2912309002005,291230900,2005,30.41,28.06,2.13,34.51,95.11,RL00262873
5320232002016,532023200,2016,0.01,0.00,0.00,0.00,0.01,
1020880002015,102088000,2015,1166.31,26.24,23.33,164.85,1380.73,1603R15039161
3212455002012,321245500,2012,187.43,54.83,13.12,69.57,324.95,1512R12584717
1620765002010,162076500,2010,69.94,33.04,4.90,43.02,150.90,RL00855730
6211986002016,621198600,2016,1420.80,0.00,0.00,0.00,1420.80,
8810066672015,881006667,2015,15380.72,346.07,307.61,1053.97,17088.37,1603R15091464
4521622002013,452162200,2013,0.00,82.20,50.34,47.47,180.01,1512R13556388
2921399002012,292139900,2012,201.32,58.89,14.09,72.97,347.27,1512R12584036
3622593002016,362259300,2016,288.36,0.00,0.00,0.00,288.36,
